10;20;1000
1;1832
2;1835
3;1821
4;1862
5;1834
6;1825
7;1822
8;1803
9;1810
10;1801
11;1841
12;1813
13;1794
14;1799
15;1811
16;1814
17;1815
18;1807
19;1795
20;1817
media geral: 1817
25;20;1000
1;1889
2;1908
3;1891
4;1917
5;1932
6;1913
7;1913
8;1919
9;1901
10;1918
11;1922
12;1902
13;1923
14;1923
15;1902
16;1915
17;1907
18;1913
19;1925
20;1922
media geral: 1912
100;20;1000
1;2006
2;2004
3;2015
4;2001
5;2008
6;1996
7;2011
8;2011
9;2006
10;2010
11;1993
12;1995
13;2018
14;2005
15;2012
16;1998
17;2001
18;2017
19;1997
20;2004
media geral: 2005
1000;20;1000
1;9905
2;9923
3;11028
4;10715
5;10625
6;10885
7;10947
8;10728
9;11040
10;10769
11;10702
12;10929
13;10820
14;10816
15;10780
16;10756
17;10744
18;10782
19;10772
20;10810
media geral: 10723
10;20;1000
1;102171
2;102180
3;102175
4;102260
5;102156
6;102071
7;102127
8;102101
9;102122
10;102150
11;102178
12;102121
13;101859
14;100544
15;100555
16;100543
17;100506
18;100492
19;100509
20;100489
media geral: 101565
