10;20;1000
1;1840
2;1840
3;1826
4;1803
5;1832
6;1834
7;1834
8;1853
9;1864
10;1823
11;1819
12;1809
13;1814
14;1855
15;1846
16;1825
17;1826
18;1813
19;1829
20;1816
media geral: 1830
25;20;1000
1;1870
2;1912
3;1894
4;1911
5;1895
6;1917
7;1925
8;1914
9;1934
10;1924
11;1915
12;1918
13;1914
14;1909
15;1880
16;1870
17;1903
18;1886
19;1917
20;1920
media geral: 1906
100;20;1000
1;2034
2;1999
3;1997
4;1990
5;2009
6;2012
7;2008
8;2016
9;2011
10;2023
11;2012
12;2015
13;2027
14;2000
15;1996
16;2003
17;2004
18;1998
19;2006
20;2005
media geral: 2008
