10;20;1000
1;1833
2;1810
3;1810
4;1819
5;1807
6;1838
7;1798
8;1801
9;1806
10;1795
11;1822
12;1802
13;1805
14;1806
15;1794
16;1814
17;1791
18;1818
19;1790
20;1806
media geral: 1808
25;20;1000
1;1909
2;1899
3;1908
4;1923
5;1920
6;1918
7;1907
8;1903
9;1914
10;1899
11;1913
12;1917
13;1902
14;1922
15;1852
16;1844
17;1849
18;1808
19;1929
20;1917
media geral: 1897
100;20;1000
1;2023
2;2013
3;2009
4;2017
5;2016
6;2012
7;2003
8;2008
9;2015
10;2013
11;2009
12;2013
13;2015
14;2021
15;2001
16;2015
17;2008
18;2013
19;2014
20;2001
media geral: 2011
