10;20;1000
1;1832
2;1809
3;1812
4;1806
5;1824
6;1821
7;1817
8;1784
9;1818
10;1822
11;1791
12;1829
13;1789
14;1785
15;1802
16;1809
17;1818
18;1793
19;1813
20;1801
media geral: 1808
25;20;1000
1;1908
2;1898
3;1823
4;1832
5;1823
6;1848
7;1893
8;1920
9;1852
10;1860
11;1893
12;1891
13;1891
14;1907
15;1887
16;1900
17;1913
18;1917
19;1917
20;1899
media geral: 1883
100;20;1000
1;2038
2;2033
3;2000
4;2008
5;2026
6;2018
7;2010
8;2010
9;2016
10;2012
11;2028
12;2028
13;2028
14;2015
15;2013
16;2019
17;2018
18;2027
19;2021
20;2027
media geral: 2019
