10;20;1000
1;1850
2;1827
3;1810
4;1823
5;1829
6;1839
7;1837
8;1824
9;1823
10;1818
11;1828
12;1830
13;1820
14;1826
15;1814
16;1833
17;1798
18;1773
19;1834
20;1813
media geral: 1822
25;20;1000
1;1971
2;1903
3;1897
4;1866
5;1895
6;1981
7;1865
8;1868
9;1896
10;1907
11;1926
12;1895
13;1925
14;1927
15;1903
16;1924
17;1919
18;1870
19;1928
20;1929
media geral: 1909
100;20;1000
1;2063
2;2031
3;2037
4;2009
5;2017
6;2005
7;2010
8;2012
9;2008
10;2028
11;2021
12;1991
13;2007
14;1997
15;2002
16;2013
17;2015
18;2014
19;2007
20;2007
media geral: 2014
